time(s), algorithm, edges, vertices 
0.632918, Uniform Paths, 20480.0, 1024 
0.052016, Toroslu, 20480.0, 1024 
0.030281, Tree, 20480.0, 1024 
0.020143, SCC, 20480.0, 1024 
0.226233, Dijkstra, 20480.0, 1024 
0.472531, Hidden Paths, 20480.0, 1024 
0.601399, Uniform Paths, 20480.0, 1024 
0.032622, Toroslu, 2048.0, 2048 
0.054248, Tree, 2048.0, 2048 
0.027003, SCC, 2048.0, 2048 
0.135387, Dijkstra, 2048.0, 2048 
1.319954, Hidden Paths, 2048.0, 2048 
1.762238, Uniform Paths, 2048.0, 2048 
0.037112, Toroslu, 2048.0, 2048 
0.054112, Tree, 2048.0, 2048 
0.028087, SCC, 2048.0, 2048 
0.134068, Dijkstra, 2048.0, 2048 
1.341367, Hidden Paths, 2048.0, 2048 
1.762881, Uniform Paths, 2048.0, 2048 
0.032276, Toroslu, 2048.0, 2048 
0.050918, Tree, 2048.0, 2048 
0.024331, SCC, 2048.0, 2048 
0.132288, Dijkstra, 2048.0, 2048 
1.308493, Hidden Paths, 2048.0, 2048 
1.720851, Uniform Paths, 2048.0, 2048 
0.031793, Toroslu, 2048.0, 2048 
0.050301, Tree, 2048.0, 2048 
0.023652, SCC, 2048.0, 2048 
0.131825, Dijkstra, 2048.0, 2048 
1.351176, Hidden Paths, 2048.0, 2048 
1.824518, Uniform Paths, 2048.0, 2048 
0.036958, Toroslu, 2048.0, 2048 
0.060267, Tree, 2048.0, 2048 
0.025330, SCC, 2048.0, 2048 
0.138693, Dijkstra, 2048.0, 2048 
1.345245, Hidden Paths, 2048.0, 2048 
1.751993, Uniform Paths, 2048.0, 2048 
0.074752, Toroslu, 4096.0, 2048 
0.066042, Tree, 4096.0, 2048 
0.031455, SCC, 4096.0, 2048 
0.551699, Dijkstra, 4096.0, 2048 
1.773073, Hidden Paths, 4096.0, 2048 
2.224509, Uniform Paths, 4096.0, 2048 
0.063329, Toroslu, 4096.0, 2048 
0.065346, Tree, 4096.0, 2048 
0.032338, SCC, 4096.0, 2048 
0.570631, Dijkstra, 4096.0, 2048 
1.874398, Hidden Paths, 4096.0, 2048 
2.330375, Uniform Paths, 4096.0, 2048 
0.062668, Toroslu, 4096.0, 2048 
0.064313, Tree, 4096.0, 2048 
0.031432, SCC, 4096.0, 2048 
0.559264, Dijkstra, 4096.0, 2048 
1.784378, Hidden Paths, 4096.0, 2048 
2.266735, Uniform Paths, 4096.0, 2048 
0.076144, Toroslu, 4096.0, 2048 
0.070689, Tree, 4096.0, 2048 
0.031598, SCC, 4096.0, 2048 
0.557309, Dijkstra, 4096.0, 2048 
1.800589, Hidden Paths, 4096.0, 2048 
2.343473, Uniform Paths, 4096.0, 2048 
0.070676, Toroslu, 4096.0, 2048 
0.072631, Tree, 4096.0, 2048 
0.034619, SCC, 4096.0, 2048 
0.572347, Dijkstra, 4096.0, 2048 
1.812441, Hidden Paths, 4096.0, 2048 
2.231139, Uniform Paths, 4096.0, 2048 
0.117190, Toroslu, 8192.0, 2048 
0.091799, Tree, 8192.0, 2048 
0.045995, SCC, 8192.0, 2048 
0.696517, Dijkstra, 8192.0, 2048 
1.999108, Hidden Paths, 8192.0, 2048 
2.454827, Uniform Paths, 8192.0, 2048 
0.130077, Toroslu, 8192.0, 2048 
0.100505, Tree, 8192.0, 2048 
0.047238, SCC, 8192.0, 2048 
0.721951, Dijkstra, 8192.0, 2048 
1.955255, Hidden Paths, 8192.0, 2048 
2.381023, Uniform Paths, 8192.0, 2048 
0.118323, Toroslu, 8192.0, 2048 
0.090060, Tree, 8192.0, 2048 
0.044884, SCC, 8192.0, 2048 
0.698058, Dijkstra, 8192.0, 2048 
2.007711, Hidden Paths, 8192.0, 2048 
2.450370, Uniform Paths, 8192.0, 2048 
0.120734, Toroslu, 8192.0, 2048 
0.090074, Tree, 8192.0, 2048 
0.046075, SCC, 8192.0, 2048 
0.704653, Dijkstra, 8192.0, 2048 
2.035552, Hidden Paths, 8192.0, 2048 
2.428724, Uniform Paths, 8192.0, 2048 
0.125955, Toroslu, 8192.0, 2048 
0.102294, Tree, 8192.0, 2048 
0.046628, SCC, 8192.0, 2048 
0.692249, Dijkstra, 8192.0, 2048 
1.948794, Hidden Paths, 8192.0, 2048 
2.368562, Uniftime(s), algorithm, edges, vertices 
0.007783, Toroslu, 1024.0, 1024 
0.012735, Tree, 1024.0, 1024 
0.006623, SCC, 1024.0, 1024 
0.036237, Dijkstra, 1024.0, 1024 
0.332117, Hidden Paths, 1024.0, 1024 
0.441180, Uniform Paths, 1024.0, 1024 
0.013138, Toroslu, 2048.0, 1024 
0.016112, Tree, 2048.0, 1024 
0.007899, SCC, 2048.0, 1024 
0.128459, Dijkstra, 2048.0, 1024 
0.438643, Hidden Paths, 2048.0, 1024 
0.551655, Uniform Paths, 2048.0, 1024 
0.021435, Toroslu, 4096.0, 1024 
0.020561, Tree, 4096.0, 1024 
0.011494, SCC, 4096.0, 1024 
0.160726, Dijkstra, 4096.0, 1024 
0.446013, Hidden Paths, 4096.0, 1024 
0.560023, Uniform Paths, 4096.0, 1024 
0.037951, Toroslu, 10240.0, 1024 
0.026803, Tree, 10240.0, 1024 
0.016087, SCC, 10240.0, 1024 
0.197116, Dijkstra, 10240.0, 1024 
0.454461, Hidden Paths, 10240.0, 1024 
0.572030, Uniform Paths, 10240.0, 1024 
0.050127, Toroslu, 20480.0, 1024 
0.030399, Tree, 20480.0, 1024 
0.019674, SCC, 20480.0, 1024 
0.223615, Dijkstra, 20480.0, 1024 
0.455675, Hidden Paths, 20480.0, 1024 
0.580924, Uniform Paths, 20480.0, 1024 
0.033746, Toroslu, 2048.0, 2048 
0.051071, Tree, 2048.0, 2048 
0.024037, SCC, 2048.0, 2048 
0.131820, Dijkstra, 2048.0, 2048 
1.317383, Hidden Paths, 2048.0, 2048 
1.752938, Uniform Paths, 2048.0, 2048 
0.077743, Toroslu, 4096.0, 2048 
0.070663, Tree, 4096.0, 2048 
0.031943, SCC, 4096.0, 2048 
0.571646, Dijkstra, 4096.0, 2048 
1.844042, Hidden Paths, 4096.0, 2048 
2.238308, Uniform Paths, 4096.0, 2048 
0.120105, Toroslu, 8192.0, 2048 
0.090764, Tree, 8192.0, 2048 
0.046130, SCC, 8192.0, 2048 
0.698605, Dijkstra, 8192.0, 2048 
1.938490, Hidden Paths, 8192.0, 2048 
2.447137, Uniform Paths, 8192.0, 2048 
0.256078, Toroslu, 22528.0, 2048 
0.126160, Tree, 22528.0, 2048 
0.071830, SCC, 22528.0, 2048 
0.838578, Dijkstra, 22528.0, 2048 
1.964589, Hidden Paths, 22528.0, 2048 
2.425380, Uniform Paths, 22528.0, 2048 
0.296552, Toroslu, 45056.0, 2048 
0.135142, Tree, 45056.0, 2048 
0.080215, SCC, 45056.0, 2048 
0.939615, Dijkstra, 45056.0, 2048 
2.040329, Hidden Paths, 45056.0, 2048 
2.452350, Uniform Paths, 45056.0, 2048 
