Toroslu, 1.608, 2048, 397584, 1.90, 2048, 397584, 660, 228239
Dijkstra, 8.339, 2048, 397584, 1.90, 2048, 397584, 660, 228239
Hidden, 9.977, 2048, 397584, 1.90, 2048, 397584, 660, 228239
Uniform, 11.438, 2048, 397584, 1.90, 2048, 397584, 660, 228239
Tree, 0.267, 2048, 284775, 1.90, 2048, 284775, 370, 76154
SCC, 0.169, 2048, 284775, 1.90, 2048, 284775, 370, 76154
Toroslu, 0.681, 2048, 284775, 1.90, 2048, 284775, 370, 76154
Dijkstra, 6.872, 2048, 284775, 1.90, 2048, 284775, 370, 76154
Hidden, 9.045, 2048, 284775, 1.90, 2048, 284775, 370, 76154
Uniform, 10.344, 2048, 284775, 1.90, 2048, 284775, 370, 76154
Tree, 0.320, 2048, 368826, 1.90, 2048, 368826, 553, 163174
SCC, 0.234, 2048, 368826, 1.90, 2048, 368826, 553, 163174
Toroslu, 1.291, 2048, 368826, 1.90, 2048, 368826, 553, 163174
Dijkstra, 8.344, 2048, 368826, 1.90, 2048, 368826, 553, 163174
Hidden, 10.423, 2048, 368826, 1.90, 2048, 368826, 553, 163174
Uniform, 11.985, 2048, 368826, 1.90, 2048, 368826, 553, 163174
Tree, 0.319, 4096, 4168, 0.10, 4096, 4168, 620, 621
SCC, 0.219, 4096, 4168, 0.10, 4096, 4168, 620, 621
Toroslu, 0.282, 4096, 4168, 0.10, 4096, 4168, 620, 621
Dijkstra, 5.954, 4096, 4168, 0.10, 4096, 4168, 620, 621
Hidden, 33.458, 4096, 4168, 0.10, 4096, 4168, 620, 621
Uniform, 41.018, 4096, 4168, 0.10, 4096, 4168, 620, 621
Tree, 0.334, 4096, 4169, 0.10, 4096, 4169, 1748, 1750
SCC, 0.324, 4096, 4169, 0.10, 4096, 4169, 1748, 1750
Toroslu, 0.307, 4096, 4169, 0.10, 4096, 4169, 1748, 1750
Dijkstra, 5.942, 4096, 4169, 0.10, 4096, 4169, 1748, 1750
Hidden, 39.921, 4096, 4169, 0.10, 4096, 4169, 1748, 1750
Uniform, 48.886, 4096, 4169, 0.10, 4096, 4169, 1748, 1750
Tree, 0.303, 4096, 4156, 0.10, 4096, 4156, 1294, 1296
SCC, 0.213, 4096, 4156, 0.10, 4096, 4156, 1294, 1296
Toroslu, 0.250, 4096, 4156, 0.10, 4096, 4156, 1294, 1296
Dijkstra, 3.470, 4096, 4156, 0.10, 4096, 4156, 1294, 1296
Hidden, 29.085, 4096, 4156, 0.10, 4096, 4156, 1294, 1296
Uniform, 35.449, 4096, 4156, 0.10, 4096, 4156, 1294, 1296
Tree, 0.322, 4096, 4343, 0.50, 4096, 4343, 1507, 1545
SCC, 0.237, 4096, 4343, 0.50, 4096, 4343, 1507, 1545
Toroslu, 0.358, 4096, 4343, 0.50, 4096, 4343, 1507, 1545
Dijkstra, 8.924, 4096, 4343, 0.50, 4096, 4343, 1507, 1545
Hidden, 40.672, 4096, 4343, 0.50, 4096, 4343, 1507, 1545
Uniform, 49.748, 4096, 4343, 0.50, 4096, 4343, 1507, 1545
Tree, 0.332, 4096, 4339, 0.50, 4096, 4339, 871, 900
SCC, 0.171, 4096, 4339, 0.50, 4096, 4339, 871, 900
Toroslu, 0.242, 4096, 4339, 0.50, 4096, 4339, 871, 900
Dijkstra, 5.909, 4096, 4339, 0.50, 4096, 4339, 871, 900
Hidden, 26.933, 4096, 4339, 0.50, 4096, 4339, 871, 900
Uniform, 32.983, 4096, 4339, 0.50, 4096, 4339, 871, 900
Tree, 0.293, 4096, 4334, 0.50, 4096, 4334, 862, 891
SCC, 0.240, 4096, 4334, 0.50, 4096, 4334, 862, 891
Toroslu, 0.389, 4096, 4334, 0.50, 4096, 4334, 862, 891
Dijkstra, 9.530, 4096, 4334, 0.50, 4096, 4334, 862, 891
Hidden, 39.109, 4096, 4334, 0.50, 4096, 4334, 862, 891
Uniform, 47.584, 4096, 4334, 0.50, 4096, 4334, 862, 891
Tree, 0.476, 4096, 8252, 1.00, 4096, 8252, 937, 1874
SCC, 0.277, 4096, 8252, 1.00, 4096, 8252, 937, 1874
Toroslu, 1.555, 4096, 8252, 1.00, 4096, 8252, 937, 1874
Dijkstra, 16.329, 4096, 8252, 1.00, 4096, 8252, 937, 1874
Hidden, 44.813, 4096, 8252, 1.00, 4096, 8252, 937, 1874
Uniform, 52.850, 4096, 8252, 1.00, 4096, 8252, 937, 1874
Tree, 0.529, 4096, 8251, 1.00, 4096, 8251, 1182, 2364
SCC, 0.337, 4096, 8251, 1.00, 4096, 8251, 1182, 2364
Toroslu, 1.551, 4096, 8251, 1.00, 4096, 8251, 1182, 2364
Dijkstra, 18.910, 4096, 8251, 1.00, 4096, 8251, 1182, 2364
Hidden, 50.016, 4096, 8251, 1.00, 4096, 8251, 1182, 2364
Uniform, 58.959, 4096, 8251, 1.00, 4096, 8251, 1182, 2364
Tree, 0.592, 4096, 8242, 1.00, 4096, 8242, 1588, 3176
SCC, 0.447, 4096, 8242, 1.00, 4096, 8242, 1588, 3176
Toroslu, 3.389, 4096, 8242, 1.00, 4096, 8242, 1588, 3176
Dijkstra, 21.683, 4096, 8242, 1.00, 4096, 8242, 1588, 3176
Hidden, 59.405, 4096, 8242, 1.00, 4096, 8242, 1588, 3176
Uniform, 71.432, 4096, 8242, 1.00, 4096, 8242, 1588, 3176
Tree, 1.481, 4096, 98304, 1.50, 4096, 98304, 1146, 39941
SCC, 0.815, 4096, 98304, 1.50, 4096, 98304, 1146, 39941
Toroslu, 6.918, 4096, 98304, 1.50, 4096, 98304, 1146, 39941
Dijkstra, 25.164, 4096, 98304, 1.50, 4096, 98304, 1146, 39941
Hidden, 51.516, 4096, 98304, 1.50, 4096, 98304, 1146, 39941
Uniform, 56.178, 4096, 98304, 1.50, 4096, 98304, 1146, 39941
Tree, 1.645, 4096, 104672, 1.50, 4096, 104672, 1265, 46257
SCC, 0.997, 4096, 104672, 1.50, 4096, 104672, 1265, 46257
Toroslu, 10.159, 4096, 104672, 1.50, 4096, 104672, 1265, 46257
Dijkstra, 27.817, 4096, 104672, 1.50, 4096, 104672, 1265, 46257
Hidden, 55.620, 4096, 104672, 1.50, 4096, 104672, 1265, 46257
Uniform, 60.885, 4096, 104672, 1.50, 4096, 104672, 1265, 46257
Tree, 1.169, 4096, 93540, 1.50, 4096, 93540, 654, 17379
SCC, 0.623, 4096, 93540, 1.50, 4096, 93540, 654, 17379
Toroslu, 4.482, 4096, 93540, 1.50, 4096, 93540, 654, 17379
Dijkstra, 23.226, 4096, 93540, 1.50, 4096, 93540, 654, 17379
Hidden, 49.010, 4096, 93540, 1.50, 4096, 93540, 654, 17379
Uniform, 53.855, 4096, 93540, 1.50, 4096, 93540, 654, 17379
Tree, 2.042, 4096, 1372650, 1.90, 4096, 1372650, 1119, 621669
SCC, 1.245, 4096, 1372650, 1.90, 4096, 1372650, 1119, 621669
Toroslu, 9.959, 4096, 1372650, 1.90, 4096, 1372650, 1119, 621669
Dijkstra, 43.323, 4096, 1372650, 1.90, 4096, 1372650, 1119, 621669
Hidden, 46.994, 4096, 1372650, 1.90, 4096, 1372650, 1119, 621669
Uniform, 51.989, 4096, 1372650, 1.90, 4096, 1372650, 1119, 621669
Tree, 2.003, 4096, 1255352, 1.90, 4096, 1255352, 1022, 523366
SCC, 1.057, 4096, 1255352, 1.90, 4096, 1255352, 1022, 523366
Toroslu, 7.759, 4096, 1255352, 1.90, 4096, 1255352, 1022, 523366
Dijkstra, 46.587, 4096, 1255352, 1.90, 4096, 1255352, 1022, 523366
Hidden, 48.218, 4096, 1255352, 1.90, 4096, 1255352, 1022, 523366
Uniform, 53.524, 4096, 1255352, 1.90, 4096, 1255352, 1022, 523366
Tree, 0.076, 2048, 2111, 0.10, 2048, 2111, 468, 469
SCC, 0.058, 2048, 2111, 0.10, 2048, 2111, 468, 469
Toroslu, 0.062, 2048, 2111, 0.10, 2048, 2111, 468, 469
Dijkstra, 1.192, 2048, 2111, 0.10, 2048, 2111, 468, 469
Hidden, 7.082, 2048, 2111, 0.10, 2048, 2111, 468, 469
Uniform, 8.619, 2048, 2111, 0.10, 2048, 2111, 468, 469
Tree, 0.063, 2048, 2109, 0.10, 2048, 2109, 511, 512
SCC, 0.056, 2048, 2109, 0.10, 2048, 2109, 511, 512
Toroslu, 0.074, 2048, 2109, 0.10, 2048, 2109, 511, 512
Dijkstra, 1.459, 2048, 2109, 0.10, 2048, 2109, 511, 512
Hidden, 8.393, 2048, 2109, 0.10, 2048, 2109, 511, 512
Uniform, 10.103, 2048, 2109, 0.10, 2048, 2109, 511, 512
Tree, 0.055, 2048, 2104, 0.10, 2048, 2104, 681, 682
SCC, 0.045, 2048, 2104, 0.10, 2048, 2104, 681, 682
Toroslu, 0.062, 2048, 2104, 0.10, 2048, 2104, 681, 682
Dijkstra, 0.860, 2048, 2104, 0.10, 2048, 2104, 681, 682
Hidden, 7.400, 2048, 2104, 0.10, 2048, 2104, 681, 682
Uniform, 8.990, 2048, 2104, 0.10, 2048, 2104, 681, 682
Tree, 0.062, 2048, 2220, 0.50, 2048, 2220, 496, 518
SCC, 0.038, 2048, 2220, 0.50, 2048, 2220, 496, 518
Toroslu, 0.062, 2048, 2220, 0.50, 2048, 2220, 496, 518
Dijkstra, 1.427, 2048, 2220, 0.50, 2048, 2220, 496, 518
Hidden, 6.263, 2048, 2220, 0.50, 2048, 2220, 496, 518
Uniform, 7.586, 2048, 2220, 0.50, 2048, 2220, 496, 518
Tree, 0.058, 2048, 2228, 0.50, 2048, 2228, 421, 441
SCC, 0.061, 2048, 2228, 0.50, 2048, 2228, 421, 441
Toroslu, 0.079, 2048, 2228, 0.50, 2048, 2228, 421, 441
Dijkstra, 1.907, 2048, 2228, 0.50, 2048, 2228, 421, 441
Hidden, 8.335, 2048, 2228, 0.50, 2048, 2228, 421, 441
Uniform, 10.136, 2048, 2228, 0.50, 2048, 2228, 421, 441
Tree, 0.065, 2048, 2111, 0.10, 2048, 2111, 393, 394
SCC, 0.049, 2048, 2111, 0.10, 2048, 2111, 393, 394
Toroslu, 0.058, 2048, 2111, 0.10, 2048, 2111, 393, 394
Dijkstra, 0.985, 2048, 2111, 0.10, 2048, 2111, 393, 394
Tree, 0.056, 2048, 2102, 0.10, 2048, 2102, 571, 572
SCC, 0.049, 2048, 2102, 0.10, 2048, 2102, 571, 572
Toroslu, 0.062, 2048, 2102, 0.10, 2048, 2102, 571, 572
Dijkstra, 1.144, 2048, 2102, 0.10, 2048, 2102, 571, 572
Tree, 0.062, 2048, 2091, 0.10, 2048, 2091, 681, 682
SCC, 0.043, 2048, 2091, 0.10, 2048, 2091, 681, 682
Toroslu, 0.058, 2048, 2091, 0.10, 2048, 2091, 681, 682
Dijkstra, 0.871, 2048, 2091, 0.10, 2048, 2091, 681, 682
Tree, 0.061, 2048, 2231, 0.50, 2048, 2231, 648, 673
SCC, 0.067, 2048, 2231, 0.50, 2048, 2231, 648, 673
Toroslu, 0.088, 2048, 2231, 0.50, 2048, 2231, 648, 673
Dijkstra, 2.046, 2048, 2231, 0.50, 2048, 2231, 648, 673
Tree, 0.065, 2048, 2227, 0.50, 2048, 2227, 426, 446
SCC, 0.040, 2048, 2227, 0.50, 2048, 2227, 426, 446
Toroslu, 0.067, 2048, 2227, 0.50, 2048, 2227, 426, 446
Dijkstra, 1.381, 2048, 2227, 0.50, 2048, 2227, 426, 446
Tree, 0.067, 2048, 2224, 0.50, 2048, 2224, 688, 714
SCC, 0.051, 2048, 2224, 0.50, 2048, 2224, 688, 714
Toroslu, 0.075, 2048, 2224, 0.50, 2048, 2224, 688, 714
Dijkstra, 1.848, 2048, 2224, 0.50, 2048, 2224, 688, 714
Tree, 0.094, 2048, 4154, 1.00, 2048, 4154, 753, 1506
SCC, 0.089, 2048, 4154, 1.00, 2048, 4154, 753, 1506
Toroslu, 0.305, 2048, 4154, 1.00, 2048, 4154, 753, 1506
Dijkstra, 4.539, 2048, 4154, 1.00, 2048, 4154, 753, 1506
Tree, 0.103, 2048, 4129, 1.00, 2048, 4129, 621, 1242
